2026-03-30 09:10:24.003219 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:10:54.230351 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:10:31.878729 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:11:03.916577 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:11:03.975255 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:11:24.665494 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:11:25.681258 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:11:26.684930 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:11:27.696788 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:11:54.229640 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:11:31.880934 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:12:03.914905 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:12:03.976070 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:12:23.112855 | 192.168.146.1 -> 224.0.0.251 | UDP
2026-03-30 09:12:24.025323 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:12:54.228303 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:12:31.884932 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:12:46.848268 | 192.168.146.1 -> 192.168.146.255 | UDP
2026-03-30 09:13:03.916927 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:13:03.976738 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:13:24.677157 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:13:25.678226 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:13:26.693897 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:13:27.709819 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:13:54.231402 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:13:31.881733 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:14:03.919817 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:14:03.975794 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:14:20.039223 | 192.168.146.1 -> 192.168.146.255 | UDP
2026-03-30 09:14:23.060451 | 192.168.146.1 -> 192.168.146.255 | UDP
2026-03-30 09:14:23.117601 | 192.168.146.1 -> 224.0.0.251 | UDP
2026-03-30 09:14:24.032351 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:14:54.230151 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:14:31.880824 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:14:53.079194 | 192.168.146.1 -> 192.168.146.255 | UDP
2026-03-30 09:15:03.920561 | 192.168.146.128 -> 103.136.36.100 | UDP
2026-03-30 09:15:03.984258 | 103.136.36.100 -> 192.168.146.128 | UDP
2026-03-30 09:15:24.031453 | 192.168.146.1 -> 192.168.146.254 | UDP
2026-03-30 09:15:24.032046 | 192.168.146.254 -> 192.168.146.1 | UDP
2026-03-30 09:15:24.053579 | 192.168.146.1 -> 224.0.0.22 | OTHER
2026-03-30 09:15:24.127535 | 192.168.146.1 -> 224.0.0.22 | OTHER
2026-03-30 09:15:24.133448 | 192.168.146.1 -> 224.0.0.22 | OTHER
2026-03-30 09:15:24.133920 | 192.168.146.1 -> 224.0.0.22 | OTHER
2026-03-30 09:15:24.524845 | 192.168.146.1 -> 224.0.0.22 | OTHER
2026-03-30 09:15:24.559107 | 192.168.146.1 -> 224.0.0.252 | UDP
2026-03-30 09:15:24.689228 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:15:25.690945 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:15:26.706183 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:15:27.706169 | 192.168.146.1 -> 239.255.255.250 | UDP
2026-03-30 09:15:54.231646 | 192.168.146.128 -> 103.136.36.100 | UDP
